"Scenario","RestrictedModel","MeanBootstrapMinutes","MaxBootstrapMinutes","Reps","B"
"D1","Poisson",68.0671789550781,73.6374221960703,20,99
"D1","NB",110.862176218232,114.592659024398,20,99
"D1","ZIP",95.4385695066055,103.444675505161,20,99
"D1","ZINB",85.5874627129237,87.5489262104035,20,99
"D1","P+NB",75.679968958497,78.5354881445567,20,99
"D1","Z+P+NB",56.1931442588568,60.5846373240153,20,99
"D2","Poisson",78.8739147228003,93.6437015692393,20,99
"D2","NB",192.179881960352,222.308680264155,20,99
"D2","ZIP",70.8355056363344,73.6604176282883,20,99
"D2","ZINB",60.4597577367226,64.7281930764516,20,99
"D2","P+NB",170.174196813504,198.972849508127,20,99
"D2","Z+P+NB",53.2231234534582,74.0590720176697,20,99
"D3","Poisson",76.8986956244707,86.5626296043396,20,99
"D3","NB",94.6628276964029,105.356500577927,20,99
"D3","ZIP",98.422041777571,113.512168828646,20,99
"D3","ZINB",103.133942483664,118.123086245855,20,99
"D3","P+NB",69.7349383916458,71.7165217240651,20,99
"D3","Z+P+NB",52.6049308896065,60.580045068264,20,99
"D4","Poisson",97.9921232867241,123.545806340377,20,99
"D4","NB",147.952861935298,164.492394995689,20,99
"D4","ZIP",68.1229284226894,73.4247186581294,20,99
"D4","ZINB",62.5130614002546,65.0665417194367,20,99
"D4","P+NB",108.966222265561,124.290018840631,20,99
"D4","Z+P+NB",62.4162221648296,72.4524608254433,20,99
