SourceFolder,Scenario,Dataset,Rep,Model,fit_elapsed_sec,success,nit,llf,aic,bic
D1_NB,D1,Dataset 1,9,Poisson,0.4974102973937988,True,7,-97644.33180283126,195292.66360566253,195308.4705807676
D1_NB,D1,Dataset 1,9,NB,3.274538040161133,True,10,-46524.99323436016,93055.98646872032,93079.69693137793
D1_NB,D1,Dataset 1,9,ZIP,4.943312644958496,True,12,-70401.392313853,140810.784627706,140842.39857791614
D1_NB,D1,Dataset 1,9,ZINB,14.179441690444946,True,16,-45766.116526232094,91542.2330524642,91581.75049022688
D1_NB,D1,Dataset 1,9,P+NB,12.809657335281372,True,21,-45166.01452299574,90344.02904599148,90391.4499713067
D1_NB,D1,Dataset 1,9,Z+P+NB,28.904723167419437,True,18,-44580.556394340296,89177.11278868059,89240.34068910088
D1_NB,D1,Dataset 1,9,ZIP--ZINB,48.150558948516846,True,17,-44531.20603054263,89082.41206108526,89161.44693661062
D1_NB,D1,Dataset 1,5,Poisson,0.9049224853515624,True,8,-97442.27059428128,194888.54118856255,194904.3481636677
D1_NB,D1,Dataset 1,5,NB,2.9429898262023926,True,12,-46457.75446204189,92921.50892408378,92945.2193867414
D1_NB,D1,Dataset 1,5,ZIP,6.033062219619751,True,11,-70555.35902962036,141118.71805924072,141150.33200945088
D1_NB,D1,Dataset 1,5,ZINB,12.24230408668518,True,20,-45774.93133131175,91559.86266262348,91599.38010038616
D1_NB,D1,Dataset 1,5,P+NB,11.473079442977903,True,19,-45136.32545100289,90284.6509020058,90332.071827321
D1_NB,D1,Dataset 1,5,Z+P+NB,30.552508115768436,True,19,-44639.689459650894,89295.37891930179,89358.60681972207
D1_NB,D1,Dataset 1,5,ZIP--ZINB,50.54240918159485,True,15,-44575.12120577272,89170.24241154543,89249.2772870708
D1_NB,D1,Dataset 1,3,Poisson,0.6372530460357666,True,7,-98052.59855303472,196109.19710606945,196125.0040811745
D1_NB,D1,Dataset 1,3,NB,3.245347499847412,True,19,-46623.21687655056,93252.43375310113,93276.14421575872
D1_NB,D1,Dataset 1,3,ZIP,5.366599798202515,True,12,-70916.0653989736,141840.1307979472,141871.74474815736
D1_NB,D1,Dataset 1,3,ZINB,10.686210870742798,True,16,-45862.65910176948,91735.31820353896,91774.83564130164
D1_NB,D1,Dataset 1,3,P+NB,12.83134388923645,True,17,-45297.52894019792,90607.05788039583,90654.47880571109
D1_NB,D1,Dataset 1,3,Z+P+NB,30.595757484436035,True,23,-44732.07771606541,89480.15543213082,89543.38333255111
D1_NB,D1,Dataset 1,3,ZIP--ZINB,50.81548166275024,True,15,-44672.02183259803,89364.04366519606,89443.07854072143
D1_NB,D1,Dataset 1,14,Poisson,0.8302187919616699,True,6,-96429.26600550374,192862.53201100748,192878.33898611256
D1_NB,D1,Dataset 1,14,NB,1.6042776107788086,True,8,-46660.24361125734,93326.48722251468,93350.19768517229
D1_NB,D1,Dataset 1,14,ZIP,6.247405052185059,True,11,-69900.58059262723,139809.16118525446,139840.77513546462
D1_NB,D1,Dataset 1,14,ZINB,10.084858655929564,True,15,-45914.7154201461,91839.4308402922,91878.94827805489
D1_NB,D1,Dataset 1,14,P+NB,8.147843599319458,True,12,-45213.43056355107,90438.86112710214,90486.28205241736
D1_NB,D1,Dataset 1,14,Z+P+NB,26.7118501663208,True,20,-44703.518402462025,89423.03680492405,89486.26470534434
D1_NB,D1,Dataset 1,14,ZIP--ZINB,48.27408337593079,True,16,-44634.079745193376,89288.15949038675,89367.19436591212
D1_NB,D1,Dataset 1,10,Poisson,0.4740383625030517,True,7,-99572.12456081674,199148.24912163347,199164.05609673852
D1_NB,D1,Dataset 1,10,NB,2.0999605655670166,True,8,-46750.86979355232,93507.73958710465,93531.45004976224
D1_NB,D1,Dataset 1,10,ZIP,3.287724256515503,True,11,-72057.32408655476,144122.6481731095,144154.26212331967
D1_NB,D1,Dataset 1,10,ZINB,15.737532138824465,True,25,-46018.15503793111,92046.31007586222,92085.8275136249
D1_NB,D1,Dataset 1,10,P+NB,12.259929895401,True,15,-45328.36922795925,90668.7384559185,90716.15938123372
D1_NB,D1,Dataset 1,10,Z+P+NB,29.62545371055603,True,21,-44773.47054428619,89562.94108857238,89626.16898899266
D1_NB,D1,Dataset 1,10,ZIP--ZINB,53.31259632110596,True,16,-44703.73270774567,89427.46541549134,89506.50029101671
D1_NB,D1,Dataset 1,11,Poisson,0.6253440380096436,True,6,-98035.97701062802,196075.95402125604,196091.76099636112
D1_NB,D1,Dataset 1,11,NB,1.901636838912964,True,8,-46578.742845089175,93163.48569017836,93187.19615283595
D1_NB,D1,Dataset 1,11,ZIP,5.182649374008179,True,12,-70789.18239399092,141586.36478798185,141617.978738192
D1_NB,D1,Dataset 1,11,ZINB,12.420265436172484,True,17,-45794.54683619282,91599.09367238564,91638.61111014833
D1_NB,D1,Dataset 1,11,P+NB,15.07939910888672,True,15,-45215.534242252725,90443.06848450543,90490.48940982069
D1_NB,D1,Dataset 1,11,Z+P+NB,27.732560396194454,True,22,-44619.57940025414,89255.15880050827,89318.38670092856
D1_NB,D1,Dataset 1,11,ZIP--ZINB,49.638272523880005,True,40,-44548.51857431765,89117.0371486353,89196.07202416066
D1_NB,D1,Dataset 1,0,Poisson,0.6488392353057861,True,7,-98221.77522869168,196447.55045738333,196463.3574324884
