Scenario,Dataset,RestrictedModel,mean_BootstrapPValue,sd_BootstrapPValue,n_BootstrapPValue,mean_ObservedLRT,sd_ObservedLRT,n_ObservedLRT,mean_BootstrapQ95,sd_BootstrapQ95,n_BootstrapQ95,min_BootstrapRepsSucceeded
D1,Dataset 1,NB,0.010000000000000002,1.7797887332061147e-18,20,3949.025560520098,114.68116928973042,20,13.818724207038462,1.1242857191540683,20,99
D1,Dataset 1,P+NB,0.010000000000000002,1.7797887332061147e-18,20,1264.20514390132,63.67052937570131,20,8.174036825771905,0.7700447718747935,20,99
D1,Dataset 1,Poisson,0.010000000000000002,1.7797887332061147e-18,20,107693.53088248544,2170.623499530192,20,8.959380009338345,1.200017553306589,20,99
D1,Dataset 1,ZINB,0.010000000000000002,1.7797887332061147e-18,20,2445.016521696386,115.9466728142596,20,12.471957282146104,0.8027776366666706,20,99
D1,Dataset 1,ZIP,0.010000000000000002,1.7797887332061147e-18,20,52810.37554213052,1715.6396303771714,20,12.46322522004724,0.9196456965725346,20,99
D1,Dataset 1,Z+P+NB,0.010000000000000002,1.7797887332061147e-18,20,135.15978594769112,18.04970215752106,20,5.603955098455116,0.7859581446132065,20,99
D2,Dataset 2,NB,0.010000000000000002,1.7797887332061147e-18,20,4616.251983887399,149.2180768029099,20,14.929541799606739,1.32195844136071,20,99
D2,Dataset 2,P+NB,0.010000000000000002,1.7797887332061147e-18,20,4197.330112424116,123.27708142438553,20,8.85531380272732,1.119628295377624,20,99
D2,Dataset 2,Poisson,0.010000000000000002,1.7797887332061147e-18,20,123078.47157239022,2976.6196843373264,20,9.640658393319459,0.9824511267889585,20,99
D2,Dataset 2,ZINB,0.010000000000000002,1.7797887332061147e-18,20,124.69045727157099,19.991440960525505,20,13.79771547777436,1.3103812978222633,20,99
D2,Dataset 2,ZIP,0.010000000000000002,1.7797887332061147e-18,20,21965.738847702007,1052.4804184307718,20,12.397161517416697,1.4103874804333556,20,99
D2,Dataset 2,Z+P+NB,0.010000000000000002,1.7797887332061147e-18,20,40.191603957209374,12.636153838922795,20,6.1206526349101456,0.9454672589251042,20,99
D3,Dataset 3,NB,0.010000000000000002,1.7797887332061147e-18,20,8153.501983554912,215.5995719906263,20,14.153100476377,0.9794155384826259,20,99
D3,Dataset 3,P+NB,0.010000000000000002,1.7797887332061147e-18,20,6698.899331821782,157.16803176607974,20,8.896991406488336,0.9839195293332752,20,99
D3,Dataset 3,Poisson,0.010000000000000002,1.7797887332061147e-18,20,88367.66704888325,2644.800390248643,20,9.772258338980972,1.6163013855568744,20,99
D3,Dataset 3,ZINB,0.010000000000000002,1.7797887332061147e-18,20,1144.6573153586535,69.03638742613167,20,13.76855894030013,1.0405183896258943,20,99
D3,Dataset 3,ZIP,0.010000000000000002,1.7797887332061147e-18,20,27101.3117664402,1288.6888926758215,20,12.850120197174434,1.21928740096941,20,99
D3,Dataset 3,Z+P+NB,0.010000000000000002,1.7797887332061147e-18,20,44.17326472498826,12.662305245460491,20,6.075114724943885,0.9843952277676404,20,99
D4,Dataset 4,NB,0.010000000000000002,1.7797887332061147e-18,20,6387.834203387101,114.11971104692574,20,14.812517824768943,1.3847530300335824,20,99
D4,Dataset 4,P+NB,0.010000000000000002,1.7797887332061147e-18,20,2692.9334933567748,75.28487043933605,20,8.490556957468868,0.9981676968589731,20,99
D4,Dataset 4,Poisson,0.010000000000000002,1.7797887332061147e-18,20,60794.71295736814,1025.7469964375964,20,9.740395328977097,1.1391774774876953,20,99
D4,Dataset 4,ZINB,0.010000000000000002,1.7797887332061147e-18,20,492.62668344379637,51.761909027291416,20,13.835778650100687,1.0734349496609974,20,99
D4,Dataset 4,ZIP,0.010000000000000002,1.7797887332061147e-18,20,13213.26217212883,459.21564915637134,20,12.623231600989527,1.0178766550666434,20,99
D4,Dataset 4,Z+P+NB,0.010000000000000002,1.7797887332061147e-18,20,45.47717141405519,17.390492963761883,20,5.947703193951382,0.5958067106005962,20,99
